code	name
CPAF	Core Africa and The Middle East
CPAS	Core Central/South/East Asia
CPEU	Core Europe
CPFA	Core Fine Arts
CFAP	Core Fine Arts Partial
CPGC	Core Global Connections
CPIC	Core Intercultural
CPLS	Core Laboratory Science
CPLA	Core Latin America
CMSP	Core Math/Science Partial
CPMS	Core Mathematics/Science
CPPE	Core Pre-1800
CPRF	Core Regional Focus
CPUS	Core United States
CPUD	Core United States Diversity
CUDP	Core United States Diversity Partial
CICP	Core Program (obsolete)
CUSP	Core United States (obsolete)
CAFP	Core Africa (obsolete)
