year	season	department	number	section	title	units	instructors	meetings	cores	seats	enrolled	reserved	reserved_open	waitlisted
2010	spring	ABAR	302	0	Occidental-in-Argentina	0	Susan M. Popko	Time-TBD Days-TBD Bldg-TBD		4	4	0	0	0
2010	spring	ABAU	302	0	Occidental-in-Australia	0	Susan M. Popko	Time-TBD Days-TBD Bldg-TBD		2	2	0	0	0
2010	spring	ABCH	302	0	Occidental-in-China	0	Susan M. Popko	Time-TBD Days-TBD Bldg-TBD		4	4	0	0	0
2010	spring	ABCH	309	0	Politics in China	0	Instructor Unassigned	Time-TBD Days-TBD Bldg-TBD		0	0	0	0	0
2010	spring	ABCH	310	0	Srvce Lrning&Qualitatv Fieldwk	0	Instructor Unassigned	Time-TBD Days-TBD Bldg-TBD		0	0	0	0	0
2010	spring	ABCH	311	0	Advanced Beginning Chinese	0	Instructor Unassigned	Time-TBD Days-TBD Bldg-TBD		0	0	0	0	0
2010	spring	ABCH	312	0	Intermediate Chinese	0	Instructor Unassigned	Time-TBD Days-TBD Bldg-TBD		0	0	0	0	0
2010	spring	ABCH	313	0	Contemporary Chinese Studies I	0	Instructor Unassigned	Time-TBD Days-TBD Bldg-TBD		0	0	0	0	0
2010	spring	ABCH	314	0	Applctn of Vocablry & Grammr I	0	Instructor Unassigned	Time-TBD Days-TBD Bldg-TBD		0	0	0	0	0
2010	spring	ABCH	315	0	Oral Skills Practice I	0	Instructor Unassigned	Time-TBD Days-TBD Bldg-TBD		0	0	0	0	0
2010	spring	ABCH	316	0	China, Hong Kong &World Econmy	0	Instructor Unassigned	Time-TBD Days-TBD Bldg-TBD		0	0	0	0	0
2010	spring	ABCH	317	0	Issues of Political Philosophy	0	Instructor Unassigned	Time-TBD Days-TBD Bldg-TBD		0	0	0	0	0
2010	spring	ABCI	302	0	Occidental-in-Chile	0	Susan M. Popko	Time-TBD Days-TBD Bldg-TBD		6	6	0	0	0
2010	spring	ABCI	306	0	IS:Educ Polcy-Sebastian Pinera	0	Instructor Unassigned	Time-TBD Days-TBD Bldg-TBD		0	0	0	0	0
2010	spring	ABDR	302	0	Oxy-in-the-Dominican Republic	0	Susan M. Popko	Time-TBD Days-TBD Bldg-TBD		1	1	0	0	0
2010	spring	ABDR	303	0	Dominican Dance & Folklore	0	Instructor Unassigned	Time-TBD Days-TBD Bldg-TBD		0	0	0	0	0
2010	spring	ABDR	304	0	Intro to Interntnl Commerece	0	Instructor Unassigned	Time-TBD Days-TBD Bldg-TBD		0	0	0	0	0
2010	spring	ABDR	305	0	Caribbean Short Stories	0	Instructor Unassigned	Time-TBD Days-TBD Bldg-TBD		0	0	0	0	0
2010	spring	ABDR	306	0	Advanced Span. III	0	Instructor Unassigned	Time-TBD Days-TBD Bldg-TBD		0	0	0	0	0
2010	spring	ABFR	302	0	Occidental-in-France	0	Susan M. Popko	Time-TBD Days-TBD Bldg-TBD		2	2	0	0	0
2010	spring	ABFR	303	0	Francophone Paris	0	Instructor Unassigned	Time-TBD Days-TBD Bldg-TBD		0	0	0	0	0
2010	spring	ABFR	304	0	France and Francophone Africa	0	Instructor Unassigned	Time-TBD Days-TBD Bldg-TBD		0	0	0	0	0
2010	spring	ABFR	305	0	Topcs in Advncd Grmmr&Cult III	0	Instructor Unassigned	Time-TBD Days-TBD Bldg-TBD		0	0	0	0	0
2010	spring	ABFR	307	0	France & US:Two Polit. Models	0	Instructor Unassigned	Time-TBD Days-TBD Bldg-TBD		0	0	0	0	0
